area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
92.27,南 北,其他,中楼层(共7层) ,板楼,850,92121.0,广渠门,17,120.0,3
90.65,南 北,简装,低楼层(共16层) ,板楼,900,99283.0,崇文门,37,90.0,4
90.92,南,简装,中楼层(共10层),板塔结合,861,94699.0,金宝街,40,210.0,3
94.55,南 北,简装,中楼层(共6层) ,板楼,890,94131.0,东花市,20,365.0,4
109.45,东 西,其他,10层 ,板楼,999,91275.0,永定门,5,10.0,4
152.66,东南,精装,低楼层(共26层) ,板塔结合,1800,117910.0,东直门,10,60.0,5
101.78,南 北,精装,中楼层(共16层),板塔结合,1100,108077.0,广渠门,0,90.0,4
185.66,东北,精装,中楼层(共7层) ,塔楼,1230,66251.0,东直门,9,180.0,5
104.4,南 北,精装,中楼层(共7层) ,板楼,990,94828.0,和平里,5,60.0,3
95.89,南 北,精装,低楼层(共3层) ,板楼,990,103244.0,东四,43,180.0,4
150.1,东北,精装,中楼层(共18层),板塔结合,1630,108595.0,建国门内,5,30.0,4
104.4,南 北,简装,中楼层(共7层) ,板楼,1050,100575.0,和平里,2,90.0,4
177.32,东,简装,低楼层(共24层),板楼,980,55268.0,建国门内,4,30.0,4
171.17,南 北,其他,低楼层(共16层),板塔结合,1850,108080.0,和平里,21,240.0,5
191.74,东,其他,中楼层(共24层),板楼,1050,54762.0,建国门内,3,30.0,4
90.87,东南,简装,12层 ,板塔结合,600,66029.0,永定门,5,26.0,3
97.94,南 北,简装,低楼层(共14层) ,板楼,1028,104963.0,东直门,5,7.0,4
90.88,北,精装,顶层(共16层),塔楼,716,78786.0,崇文门,20,60.0,3
99.17,南 北,其他,底层(共16层) ,塔楼,1300,131089.0,安定门,2,10.0,4
94.05,西,精装,中楼层(共17层) ,板塔结合,1400,148857.0,工体,18,60.0,3
96.39,东 西,其他,中楼层(共10层) ,板塔结合,1600,165993.0,交道口,0,7.0,4
107.38,西南,精装,高楼层(共18层) ,塔楼,699,65096.0,永定门,18,150.0,3
91.93,西,简装,中楼层(共19层) ,塔楼,566,61569.0,永定门,62,240.0,3
159.87,南 北,简装,底层(共6层) ,板楼,1580,98831.0,和平里,11,240.0,5
103.45,东 西,精装,顶层(共6层) ,板楼,799,77236.0,崇文门,46,365.0,4
92.88,南 北,精装,顶层(共6层) ,板楼,799,86025.0,崇文门,10,60.0,4
109.97,东北,简装,高楼层(共16层) ,塔楼,758,68928.0,永定门,14,365.0,4
105.8,东北,精装,高楼层(共17层),塔楼,799,75520.0,崇文门,4,30.0,3
169.07,南 北,简装,顶层(共6层) ,板楼,1100,65062.0,东花市,15,365.0,6
90.28,东 南 北,简装,低楼层(共21层) ,板塔结合,830,91937.0,安贞,23,30.0,4
100.22,南 北,精装,底层(共6层) ,板楼,1090,108761.0,东花市,58,365.0,5
102.73,南 北,精装,底层(共6层) ,板楼,1060,103184.0,东花市,64,365.0,5
105.86,东北,简装,中楼层(共17层),塔楼,780,73683.0,崇文门,0,3.0,3
93.73,南 北,精装,高楼层(共7层) ,板楼,788,84072.0,崇文门,7,180.0,5
168.14,东北,精装,中楼层(共23层) ,板塔结合,1099,65363.0,建国门内,17,300.0,4
92.02,南,其他,顶层(共12层) ,板楼,1100,119540.0,崇文门,10,90.0,4
105.23,南 北,简装,低楼层(共6层),板楼,1098,104343.0,崇文门,17,300.0,4
106.47,东 南 北,简装,中楼层(共8层) ,板楼,1220,114587.0,和平里,76,180.0,4
97.04,东南,简装,低楼层(共18层) ,板塔结合,1250,128813.0,广渠门,40,180.0,3
158.16,西,精装,低楼层(共24层),板楼,850,53744.0,建国门内,1,19.0,3
92.33,南 北,简装,低楼层(共12层) ,板塔结合,1009,109282.0,建国门内,14,330.0,3
90.47,西南,精装,低楼层(共16层),塔楼,890,98376.0,崇文门,45,60.0,4
105.69,南,简装,底层(共16层),塔楼,630,59609.0,永定门,49,270.0,3
177.32,东,精装,高楼层(共24层),板楼,1120,63163.0,建国门内,0,17.0,3
96.34,西北,其他,高楼层(共22层),塔楼,935,97053.0,广渠门,14,120.0,4
99.8,南 北,精装,中楼层(共14层) ,板塔结合,980,98197.0,东直门,61,210.0,4
98.63,南 北,精装,中楼层(共10层) ,板塔结合,1225,124202.0,交道口,6,120.0,4
95.26,东 西,简装,中楼层(共4层) ,板楼,1300,136469.0,建国门内,29,180.0,4
91.06,南 北,精装,中楼层(共14层) ,板楼,940,103229.0,崇文门,38,120.0,4
93.5,东 西 北,精装,中楼层(共16层),塔楼,588,62888.0,永定门,35,270.0,3
95.95,东南,其他,高楼层(共18层) ,板塔结合,899,93695.0,东花市,20,90.0,4
106.28,东,精装,低楼层(共14层) ,板塔结合,980,92210.0,广渠门,37,365.0,3
160.18,南,精装,中楼层(共24层),板楼,880,54939.0,建国门内,28,365.0,3
97.55,西,精装,顶层(共14层) ,板塔结合,836,85700.0,左安门,16,270.0,3
163.49,南 北,其他,中楼层(共26层) ,板楼,1990,121720.0,东直门,24,365.0,5
104.57,东 西,精装,中楼层(共16层) ,板楼,989,94578.0,东花市,35,180.0,4
152.14,东 南,其他,中楼层(共19层) ,板塔结合,1880,123571.0,和平里,11,90.0,5
104.98,南 北,简装,17层 ,塔楼,888,84588.0,崇文门,9,60.0,4
95.66,西南,简装,低楼层(共11层) ,板塔结合,1020,106628.0,崇文门,8,30.0,4
108.5,东,简装,中楼层(共23层),板楼,1160,106913.0,广渠门,11,30.0,3
163.44,南,精装,高楼层(共15层) ,塔楼,1158,70852.0,朝阳门外,7,90.0,3
158.39,东南,简装,高楼层(共16层),板塔结合,1698,107204.0,和平里,17,120.0,5
164.3,东 西,精装,高楼层(共20层),板楼,1850,112599.0,广渠门,9,270.0,4
100.53,东南,精装,低楼层(共12层) ,板塔结合,828,82364.0,永定门,155,240.0,5
90.7,东 西,精装,11层 ,板塔结合,645,71114.0,永定门,8,270.0,3
102.41,东 南 北,精装,低楼层(共19层) ,塔楼,899,87785.0,安定门,63,90.0,4
91.08,东 南 北,简装,低楼层(共21层) ,塔楼,599,65767.0,永定门,15,90.0,4
158.28,西南,简装,低楼层(共16层),板塔结合,1650,104246.0,和平里,56,365.0,5
