title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
烟树园 ,2室1厅,73.57,北 西,简装,中楼层(共11层),2003年,塔楼,760.0,103303.0,世纪城,17人关注,2个月以前发布
烟树园 ,2室1厅,83.57,西,精装,高楼层(共11层) ,暂无数据,塔楼,760.0,90942.0,世纪城,11人关注,1个月以前发布
烟树园 ,2室1厅,83.57,东 北,精装,中楼层(共11层) ,暂无数据,塔楼,795.0,95130.0,世纪城,17人关注,3个月以前发布
烟树园 ,2室1厅,84.43,西南,精装,中楼层(共11层) ,暂无数据,塔楼,800.0,94754.0,世纪城,114人关注,一年前发布
远大园三区 ,3室2厅,160.36,南 北,精装,中楼层(共14层) ,暂无数据,板楼,1860.0,115990.0,世纪城,15人关注,1个月以前发布
远大园三区 ,3室2厅,161.39,南 北,精装,中楼层(共14层) ,暂无数据,板楼,2200.0,136316.0,世纪城,11人关注,一年前发布
远大园二区 ,2室1厅,103.52,东南,精装,高楼层(共17层),2001年,塔楼,1060.0,102396.0,世纪城,10人关注,15天以前发布
远大园三区 ,3室2厅,193.21,西南,精装,中楼层(共17层) ,暂无数据,塔楼,2000.0,103515.0,世纪城,13人关注,一年前发布
远大园三区 ,3室1厅,170.57,西南,简装,低楼层(共17层),2001年,塔楼,1750.0,102598.0,世纪城,5人关注,4个月以前发布
远大园六区 ,2室1厅,70.92,南 北,简装,顶层(共6层) ,暂无数据,板楼,720.0,101523.0,世纪城,4人关注,1个月以前发布
远大园六区 ,2室1厅,67.3,南 北,精装,顶层(共6层) ,暂无数据,板楼,696.0,103418.0,世纪城,11人关注,2个月以前发布
远大园六区 ,3室1厅,86.33,南 北,精装,顶层(共6层) ,暂无数据,板楼,880.0,101935.0,世纪城,60人关注,3个月以前发布
远大园四区 ,2室1厅,107.12,西南,精装,高楼层(共16层),2000年,塔楼,1280.0,119493.0,世纪城,6人关注,1个月以前发布
远大园五区 ,3室2厅,176.82,南 北,精装,低楼层(共15层) ,暂无数据,板楼,1880.0,106323.0,世纪城,16人关注,2个月以前发布
远大园四区 ,2室1厅,91.52,南 西南,精装,底层(共16层),2000年,塔楼,799.0,87304.0,世纪城,20人关注,1个月以前发布
远大园三区 ,2室2厅,158.28,南,简装,低楼层(共14层) ,暂无数据,板楼,1700.0,107405.0,世纪城,7人关注,5个月以前发布
金夕园 ,2室1厅,90.22,东南,简装,低楼层(共17层),2003年,塔楼,780.0,86456.0,世纪城,21人关注,9个月以前发布
远大园三区 ,3室2厅,190.27,南 北,精装,中楼层(共14层) ,暂无数据,板楼,2080.0,109319.0,世纪城,16人关注,一年前发布
远大园三区 ,3室2厅,190.27,南 北,精装,低楼层(共14层) ,暂无数据,板楼,1910.0,100384.0,世纪城,23人关注,9个月以前发布
烟树园 ,3室1厅,114.7,东 南,简装,中楼层(共11层) ,暂无数据,塔楼,1280.0,111596.0,世纪城,18人关注,1个月以前发布
烟树园 ,2室1厅,63.3,西南,精装,低楼层(共11层),2003年,塔楼,555.0,87678.0,世纪城,22人关注,2个月以前发布
烟树园 ,3室1厅,114.7,东南,精装,低楼层(共11层) ,暂无数据,塔楼,1199.0,104534.0,世纪城,14人关注,2个月以前发布
远大园六区 ,2室2厅,113.41,西南,精装,高楼层(共16层),2000年,塔楼,1200.0,105811.0,世纪城,14人关注,4个月以前发布
远大园六区 ,3室2厅,134.81,西南,精装,中楼层(共16层) ,暂无数据,塔楼,1590.0,117944.0,世纪城,6人关注,一年前发布
时雨园 ,3室2厅,163.7,东南,精装,中楼层(共19层) ,暂无数据,塔楼,1580.0,96519.0,世纪城,19人关注,2个月以前发布
翠叠园 ,3室2厅,157.29,南 北,简装,中楼层(共13层) ,暂无数据,板楼,1690.0,107445.0,世纪城,11人关注,28天以前发布
观山园 ,3室2厅,165.08,南 北,精装,低楼层(共11层) ,暂无数据,板楼,2300.0,139327.0,世纪城,12人关注,3个月以前发布
鲁艺上河村 ,3室2厅,181.85,南 北,简装,中楼层(共15层),2002年,板楼,2399.0,131922.0,世纪城,23人关注,7个月以前发布
观山园 ,3室2厅,172.39,南 北,简装,中楼层(共11层) ,暂无数据,板楼,2250.0,130519.0,世纪城,7人关注,28天以前发布
观山园 ,3室2厅,165.58,南 北,精装,中楼层(共11层),2004年,板楼,2190.0,132263.0,世纪城,11人关注,1个月以前发布
晨月园 ,2室2厅,98.38,东南,精装,高楼层(共17层),2007年,塔楼,925.0,94024.0,世纪城,16人关注,一年前发布
晴波园 ,3室1厅,165.74,南 北,精装,中楼层(共11层) ,暂无数据,板楼,2480.0,149632.0,世纪城,39人关注,一年前发布
晴雪园 ,2室1厅,93.56,南,精装,中楼层(共11层) ,暂无数据,板楼,1370.0,146431.0,世纪城,25人关注,2个月以前发布
晴雪园 ,3室2厅,164.68,南 北,精装,低楼层(共12层),2005年,板楼,2500.0,151810.0,世纪城,3人关注,10天以前发布
观山园 ,3室1厅,172.62,南 北,其他,中楼层(共11层) ,暂无数据,板楼,2350.0,136138.0,世纪城,1人关注,30天以前发布
观山园 ,3室2厅,166.59,南 北,精装,中楼层(共11层) ,暂无数据,板楼,2400.0,144067.0,世纪城,2人关注,21天以前发布
鲁艺上河村 ,3室2厅,164.33,南 北,精装,底层(共10层) ,暂无数据,板楼,2199.0,133817.0,世纪城,19人关注,9个月以前发布
鲁艺上河村 ,3室2厅,181.51,南 北,简装,高楼层(共15层),2002年,板楼,2280.0,125613.0,世纪城,15人关注,1个月以前发布
观山园 ,3室2厅,165.64,南 北,其他,中楼层(共11层) ,暂无数据,板楼,2200.0,132819.0,世纪城,8人关注,1个月以前发布
晴雪园 ,2室1厅,91.48,南,简装,底层(共12层),2005年,板楼,1193.0,130412.0,世纪城,22人关注,2个月以前发布
观山园 ,3室2厅,164.32,南 北,精装,中楼层(共11层) ,暂无数据,板楼,2100.0,127800.0,世纪城,11人关注,29天以前发布
