title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
鲁艺上河村 ,3室2厅,178.74平米,南 北,精装,高楼层(共15层) ,板楼,,2280,"127,560元/平",世纪城,17人关注,3个月以前发布
翠叠园 ,3室1厅,167.76平米,南 北,简装,高楼层(共11层),2004年,板楼,2200,"131,140元/平",世纪城,8人关注,1个月以前发布
晴雪园 ,3室2厅,163.92平米,南 北,简装,中楼层(共12层),2005年,板楼,2250,"137,263元/平",世纪城,9人关注,18天以前发布
时雨园 ,2室2厅,103.95平米,东南,简装,中楼层(共19层),2005年,塔楼,1320,"126,985元/平",世纪城,34人关注,10个月以前发布
时雨园 ,3室2厅,165.22平米,南 西南,精装,中楼层(共19层) ,板塔结合,,1620,"98,052元/平",世纪城,19人关注,8个月以前发布
翠叠园 ,3室1厅,161.6平米,南 北,简装,低楼层(共13层),2004年,板楼,1780,"110,149元/平",世纪城,33人关注,2个月以前发布
鲁艺上河村 ,3室1厅,169.21平米,南 北,精装,底层(共15层),2002年,板楼,2550,"150,701元/平",世纪城,0人关注,16天以前发布
垂虹园 ,3室1厅,172.34平米,东南,其他,高楼层(共18层) ,塔楼,,1740,"100,964元/平",世纪城,2人关注,22天以前发布
远大园三区 ,4室2厅,161.39平米,南 北,其他,中楼层(共14层) ,板楼,,1985,"122,994元/平",世纪城,11人关注,2个月以前发布
远大园三区 ,4室2厅,193.21平米,东南,其他,低楼层(共17层),2001年,塔楼,2100,"108,691元/平",世纪城,19人关注,一年前发布
远大园三区 ,4室2厅,193.21平米,西南,精装,低楼层(共17层) ,塔楼,,1835,"94,975元/平",世纪城,10人关注,2个月以前发布
远大园五区 ,2室2厅,127.85平米,南 北,精装,顶层(共15层) ,板楼,,1750,"136,880元/平",世纪城,0人关注,3天以前发布
远大园四区 ,3室1厅,136.77平米,东南,简装,中楼层(共16层) ,塔楼,,1720,"125,759元/平",世纪城,79人关注,一年前发布
远大园一区 ,3室2厅,164.79平米,南 北,简装,高楼层(共11层),2001年,板楼,1700,"103,162元/平",世纪城,31人关注,2个月以前发布
远大园四区 ,3室2厅,163.92平米,南 北,精装,中楼层(共7层),2000年,板楼,1988,"121,279元/平",世纪城,25人关注,3个月以前发布
春荫园 ,3室1厅,168.31平米,南 北,简装,中楼层(共12层),2004年,板楼,2050,"121,800元/平",世纪城,4人关注,1个月以前发布
世纪金源国际公寓 ,2室1厅,157.93平米,西南,简装,高楼层(共13层),2002年,塔楼,980,"62,053元/平",世纪城,2人关注,1个月以前发布
金夕园 ,2室1厅,99.52平米,西,精装,中楼层(共16层),2003年,塔楼,880,"88,425元/平",世纪城,9人关注,一年前发布
金夕园 ,2室1厅,91.22平米,东,其他,中楼层(共17层),2003年,塔楼,720,"78,931元/平",世纪城,23人关注,10个月以前发布
远大园五区 ,3室2厅,173.54平米,南 北,其他,中楼层(共12层) ,板楼,,2000,"115,248元/平",世纪城,20人关注,8个月以前发布
远大园四区 ,3室2厅,168.39平米,南 北,精装,高楼层(共7层) ,板楼,,2200,"130,650元/平",世纪城,7人关注,30天以前发布
远大园五区 ,3室2厅,173.19平米,西南,简装,低楼层(共16层),2001年,塔楼,1720,"99,313元/平",世纪城,5人关注,7个月以前发布
远大园一区 ,3室1厅,181.27平米,南 北,精装,中楼层(共13层) ,板楼,,1950,"107,575元/平",世纪城,4人关注,2个月以前发布
时雨园 ,2室1厅,105.82平米,东 南,精装,低楼层(共19层),2005年,塔楼,1200,"113,401元/平",世纪城,18人关注,2个月以前发布
远大园五区 ,3室1厅,173.54平米,南 北,简装,高楼层(共12层),2001年,板楼,2380,"137,145元/平",世纪城,21人关注,一年前发布
远大园四区 ,3室2厅,168.39平米,南 西 北,简装,中楼层(共7层) ,板楼,,2250,"133,619元/平",世纪城,24人关注,一年前发布
远大园五区 ,2室2厅,107.36平米,南 北,毛坯,顶层(共12层) ,板楼,,1450,"135,060元/平",世纪城,0人关注,1天以前发布
世纪金源国际公寓 ,2室1厅,175.7平米,西南,精装,顶层(共16层),2002年,板楼,1200,"68,299元/平",世纪城,12人关注,7个月以前发布
金夕园 ,2室1厅,99.64平米,西南 西,精装,中楼层(共16层),2003年,塔楼,830,"83,300元/平",世纪城,6人关注,1个月以前发布
远大园五区 ,3室1厅,153.96平米,南 北,简装,低楼层(共12层) ,板楼,,1680,"109,120元/平",世纪城,14人关注,2个月以前发布
远大园六区 ,2室1厅,102.07平米,东南,简装,中楼层(共16层) ,塔楼,,1095,"107,280元/平",世纪城,12人关注,8个月以前发布
远大园六区 ,3室1厅,91.33平米,南 北,简装,底层(共6层),2000年,板楼,990,"108,399元/平",世纪城,9人关注,24天以前发布
远大园六区 ,2室1厅,97.35平米,西南 东北,精装,中楼层(共12层) ,塔楼,,980,"100,668元/平",世纪城,15人关注,4个月以前发布
远大园六区 ,2室2厅,108.79平米,西南,简装,高楼层(共16层),2000年,塔楼,1090,"100,194元/平",世纪城,30人关注,一年前发布
远大园六区 ,2室1厅,70.8平米,南 北,精装,高楼层(共6层),2000年,板楼,689,"97,317元/平",世纪城,73人关注,5个月以前发布
远大园六区 ,3室1厅,86平米,南 北,精装,高楼层(共6层),2000年,板楼,928,"107,907元/平",世纪城,91人关注,9个月以前发布
远大园六区 ,2室1厅,67.19平米,南 北,精装,顶层(共6层),2000年,板楼,850,"126,507元/平",世纪城,31人关注,一年前发布
远大园六区 ,2室1厅,70.8平米,南 北,简装,低楼层(共6层),2000年,板楼,750,"105,933元/平",世纪城,29人关注,2个月以前发布
远大园六区 ,2室2厅,113.46平米,东南 西北,精装,中楼层(共16层) ,塔楼,,1180,"104,002元/平",世纪城,21人关注,一年前发布
烟树园 ,2室2厅,99.7平米,东南,精装,中楼层(共11层),2003年,塔楼,850,"85,256元/平",世纪城,53人关注,一年前发布
远大园六区 ,3室1厅,156.47平米,西南,精装,低楼层(共16层) ,塔楼,,1590,"101,617元/平",世纪城,8人关注,9个月以前发布
烟树园 ,2室2厅,99.72平米,西,简装,低楼层(共11层),2003年,塔楼,950,"95,267元/平",世纪城,5人关注,1个月以前发布
烟树园 ,2室2厅,99平米,东南,精装,中楼层(共11层),2003年,塔楼,913,"92,223元/平",世纪城,5人关注,17天以前发布
烟树园 ,2室1厅,98.71平米,南,简装,低楼层(共11层),2003年,塔楼,870,"88,137元/平",世纪城,20人关注,3个月以前发布
烟树园 ,2室1厅,73.57平米,北 西,简装,中楼层(共11层),2003年,塔楼,760,"103,303元/平",世纪城,17人关注,2个月以前发布
烟树园 ,2室1厅,83.57平米,西,精装,高楼层(共11层) ,塔楼,,760,"90,942元/平",世纪城,11人关注,1个月以前发布
烟树园 ,2室1厅,83.57平米,东 北,精装,中楼层(共11层) ,塔楼,,795,"95,130元/平",世纪城,17人关注,3个月以前发布
烟树园 ,2室1厅,84.43平米,西南,精装,中楼层(共11层) ,塔楼,,800,"94,754元/平",世纪城,114人关注,一年前发布
远大园三区 ,3室2厅,160.36平米,南 北,精装,中楼层(共14层) ,板楼,,1860,"115,990元/平",世纪城,15人关注,1个月以前发布
远大园三区 ,3室2厅,161.39平米,南 北,精装,中楼层(共14层) ,板楼,,2200,"136,316元/平",世纪城,11人关注,一年前发布
远大园二区 ,2室1厅,103.52平米,东南,精装,高楼层(共17层),2001年,塔楼,1060,"102,396元/平",世纪城,10人关注,15天以前发布
远大园三区 ,3室2厅,193.21平米,西南,精装,中楼层(共17层) ,塔楼,,2000,"103,515元/平",世纪城,13人关注,一年前发布
远大园三区 ,3室1厅,170.57平米,西南,简装,低楼层(共17层),2001年,塔楼,1750,"102,598元/平",世纪城,5人关注,4个月以前发布
远大园六区 ,2室1厅,70.92平米,南 北,简装,顶层(共6层) ,板楼,,720,"101,523元/平",世纪城,4人关注,1个月以前发布
远大园六区 ,2室1厅,67.3平米,南 北,精装,顶层(共6层) ,板楼,,696,"103,418元/平",世纪城,11人关注,2个月以前发布
远大园六区 ,3室1厅,86.33平米,南 北,精装,顶层(共6层) ,板楼,,880,"101,935元/平",世纪城,60人关注,3个月以前发布
远大园四区 ,2室1厅,107.12平米,西南,精装,高楼层(共16层),2000年,塔楼,1280,"119,493元/平",世纪城,6人关注,1个月以前发布
远大园五区 ,3室2厅,176.82平米,南 北,精装,低楼层(共15层) ,板楼,,1880,"106,323元/平",世纪城,16人关注,2个月以前发布
远大园四区 ,2室1厅,91.52平米,南 西南,精装,底层(共16层),2000年,塔楼,799,"87,304元/平",世纪城,20人关注,1个月以前发布
远大园三区 ,2室2厅,158.28平米,南,简装,低楼层(共14层) ,板楼,,1700,"107,405元/平",世纪城,7人关注,5个月以前发布
金夕园 ,2室1厅,90.22平米,东南,简装,低楼层(共17层),2003年,塔楼,780,"86,456元/平",世纪城,21人关注,9个月以前发布
远大园三区 ,3室2厅,190.27平米,南 北,精装,中楼层(共14层) ,板楼,,2080,"109,319元/平",世纪城,16人关注,一年前发布
远大园三区 ,3室2厅,190.27平米,南 北,精装,低楼层(共14层) ,板楼,,1910,"100,384元/平",世纪城,23人关注,9个月以前发布
